index src_type src_gid src_vis_x src_vis_y presyn_type N_syn
7 transient_OFF 3734 98.825 61.293 LGN_exc 30
7 transient_OFF 4023 97.359 50.057 LGN_exc 30
7 transient_OFF 4353 97.006 60.549 LGN_exc 30
7 transient_OFF 4822 96.151 57.131 LGN_exc 30
7 transient_OFF 5645 93.349 61.473 LGN_exc 30
7 transient_OFF 5899 97.136 51.574 LGN_exc 30
7 transient_ON 261 107.072 67.232 LGN_exc 30
7 transient_ON 441 108.605 63.728 LGN_exc 30
7 transient_ON 894 108.967 64.162 LGN_exc 30
7 transient_ON 1705 105.612 67.435 LGN_exc 30
7 transient_ON 1905 109.066 63.343 LGN_exc 30
7 transient_ON 1982 107.397 53.254 LGN_exc 30
7 transient_ON 2468 105.385 63.090 LGN_exc 30
7 transient_ON 2902 107.666 54.731 LGN_exc 30
8 transient_ON_OFF 6719 110.149 72.725 LGN_exc 30
8 transient_OFF 3031 108.467 79.483 LGN_exc 30
8 transient_OFF 3183 103.823 68.471 LGN_exc 30
8 transient_OFF 3276 107.166 75.667 LGN_exc 30
8 transient_OFF 3434 107.381 68.261 LGN_exc 30
8 transient_OFF 4460 107.181 82.074 LGN_exc 30
8 transient_OFF 4995 106.073 69.149 LGN_exc 30
8 transient_OFF 5530 102.558 76.221 LGN_exc 30
8 transient_OFF 5724 106.543 82.044 LGN_exc 30
8 transient_ON 89 116.770 68.571 LGN_exc 30
8 transient_ON 417 115.048 73.812 LGN_exc 30
8 transient_ON 852 117.601 70.564 LGN_exc 30
8 transient_ON 1180 115.325 71.843 LGN_exc 30
8 transient_ON 1513 118.176 67.205 LGN_exc 30
8 transient_ON 1985 116.779 68.207 LGN_exc 30
8 transient_ON 2353 116.124 72.688 LGN_exc 30
8 transient_ON 2543 116.662 67.285 LGN_exc 30
9 transient_OFF 3853 120.323 77.469 LGN_exc 30
9 transient_OFF 3873 125.238 65.909 LGN_exc 30
9 transient_OFF 4049 124.165 66.083 LGN_exc 30
9 transient_OFF 4343 124.201 72.015 LGN_exc 30
9 transient_OFF 4797 122.984 77.257 LGN_exc 30
9 transient_OFF 5465 120.166 64.637 LGN_exc 30
9 transient_OFF 5843 120.181 62.922 LGN_exc 30
9 transient_OFF 5984 123.165 77.090 LGN_exc 30
9 transient_ON 352 132.421 71.795 LGN_exc 30
9 transient_ON 514 131.217 62.154 LGN_exc 30
9 transient_ON 845 132.104 76.695 LGN_exc 30
9 transient_ON 1936 132.622 67.977 LGN_exc 30
9 transient_ON 2540 132.730 73.001 LGN_exc 30
9 transient_ON 2559 135.100 67.998 LGN_exc 30
9 transient_ON 2729 133.630 70.195 LGN_exc 30
9 transient_ON 2881 134.181 66.468 LGN_exc 30
10 transient_ON_OFF 8464 144.958 68.743 LGN_exc 30
10 transient_OFF 3942 137.793 75.763 LGN_exc 30
10 transient_OFF 3986 140.188 59.249 LGN_exc 30
10 transient_OFF 4485 138.057 73.775 LGN_exc 30
10 transient_OFF 4798 136.852 72.383 LGN_exc 30
10 transient_OFF 4833 140.029 72.964 LGN_exc 30
10 transient_OFF 4937 139.922 61.518 LGN_exc 30
10 transient_OFF 4965 136.523 68.165 LGN_exc 30
10 transient_OFF 5996 139.402 61.502 LGN_exc 30
10 transient_ON 302 147.554 57.128 LGN_exc 30
10 transient_ON 765 145.141 64.780 LGN_exc 30
10 transient_ON 1178 149.142 59.651 LGN_exc 30
10 transient_ON 1725 149.176 71.430 LGN_exc 30
10 transient_ON 2225 152.003 67.042 LGN_exc 30
10 transient_ON 2417 148.416 62.001 LGN_exc 30
10 transient_ON 2675 150.763 70.638 LGN_exc 30
10 transient_ON 2866 149.481 66.093 LGN_exc 30
11 transient_OFF 3100 112.891 47.638 LGN_exc 30
11 transient_OFF 3463 115.660 52.290 LGN_exc 30
11 transient_OFF 3976 112.827 43.800 LGN_exc 30
11 transient_OFF 4300 112.435 53.299 LGN_exc 30
11 transient_OFF 4857 113.765 58.218 LGN_exc 30
11 transient_OFF 4867 114.385 49.201 LGN_exc 30
11 transient_OFF 4897 114.858 44.593 LGN_exc 30
11 transient_OFF 5010 110.900 50.817 LGN_exc 30
11 transient_ON 225 123.152 56.341 LGN_exc 30
11 transient_ON 391 123.065 43.253 LGN_exc 30
11 transient_ON 554 124.406 44.476 LGN_exc 30
11 transient_ON 608 126.124 55.006 LGN_exc 30
11 transient_ON 1368 124.055 54.685 LGN_exc 30
11 transient_ON 2761 126.070 52.717 LGN_exc 30
11 transient_ON 2833 122.123 56.324 LGN_exc 30
11 transient_ON 2951 122.253 46.760 LGN_exc 30
12 transient_OFF 3183 103.823 68.471 LGN_exc 30
12 transient_OFF 3740 102.042 59.376 LGN_exc 30
12 transient_OFF 3857 102.009 66.122 LGN_exc 30
12 transient_OFF 3972 102.098 61.510 LGN_exc 30
12 transient_OFF 4356 105.098 65.923 LGN_exc 30
12 transient_OFF 4623 103.919 57.732 LGN_exc 30
12 transient_OFF 5554 104.175 54.509 LGN_exc 30
12 transient_OFF 5833 105.257 62.375 LGN_exc 30
12 transient_ON 55 114.819 65.891 LGN_exc 30
12 transient_ON 258 111.782 65.430 LGN_exc 30
12 transient_ON 314 113.102 67.433 LGN_exc 30
12 transient_ON 422 116.439 59.080 LGN_exc 30
12 transient_ON 795 114.741 58.039 LGN_exc 30
12 transient_ON 1370 111.969 60.126 LGN_exc 30
12 transient_ON 2054 111.204 68.146 LGN_exc 30
12 transient_ON 2386 111.579 70.238 LGN_exc 30
13 transient_OFF 3423 133.067 83.898 LGN_exc 30
13 transient_OFF 4846 129.999 73.591 LGN_exc 30
13 transient_OFF 5073 134.106 66.560 LGN_exc 30
13 transient_OFF 5084 130.714 82.008 LGN_exc 30
13 transient_OFF 5337 135.098 79.429 LGN_exc 30
13 transient_OFF 5531 133.175 65.402 LGN_exc 30
13 transient_OFF 5837 130.544 77.929 LGN_exc 30
13 transient_OFF 5941 136.067 75.442 LGN_exc 30
13 transient_ON 72 142.230 68.791 LGN_exc 30
13 transient_ON 126 142.685 77.563 LGN_exc 30
13 transient_ON 315 139.704 71.847 LGN_exc 30
13 transient_ON 765 145.141 64.780 LGN_exc 30
13 transient_ON 1183 140.186 69.407 LGN_exc 30
13 transient_ON 1735 143.562 78.093 LGN_exc 30
13 transient_ON 2574 142.655 78.947 LGN_exc 30
13 transient_ON 2891 142.122 75.323 LGN_exc 30
14 transient_OFF 3139 128.026 44.924 LGN_exc 30
14 transient_OFF 3509 130.861 53.715 LGN_exc 30
14 transient_OFF 3696 128.026 58.998 LGN_exc 30
14 transient_OFF 3798 132.985 57.470 LGN_exc 30
14 transient_OFF 3916 130.311 60.830 LGN_exc 30
14 transient_OFF 4573 129.265 43.019 LGN_exc 30
14 transient_OFF 4939 128.637 52.818 LGN_exc 30
14 transient_OFF 5556 129.982 44.087 LGN_exc 30
14 transient_ON 335 139.607 63.252 LGN_exc 30
14 transient_ON 475 138.194 56.853 LGN_exc 30
14 transient_ON 1764 138.954 51.972 LGN_exc 30
14 transient_ON 1944 142.905 52.781 LGN_exc 30
14 transient_ON 2065 137.040 50.958 LGN_exc 30
14 transient_ON 2135 140.445 64.133 LGN_exc 30
14 transient_ON 2278 139.054 63.202 LGN_exc 30
14 transient_ON 2561 138.927 46.224 LGN_exc 30
15 transient_OFF 3519 115.050 69.551 LGN_exc 30
15 transient_OFF 4167 114.566 71.350 LGN_exc 30
15 transient_OFF 4857 113.765 58.218 LGN_exc 30
15 transient_OFF 5231 112.761 59.087 LGN_exc 30
15 transient_OFF 5251 114.033 71.813 LGN_exc 30
15 transient_OFF 5505 112.008 62.538 LGN_exc 30
15 transient_OFF 5688 111.695 64.358 LGN_exc 30
15 transient_OFF 5765 115.831 61.777 LGN_exc 30
15 transient_ON 225 123.152 56.341 LGN_exc 30
15 transient_ON 1223 124.731 73.018 LGN_exc 30
15 transient_ON 1308 124.441 70.772 LGN_exc 30
15 transient_ON 1368 124.055 54.685 LGN_exc 30
15 transient_ON 1870 123.067 72.502 LGN_exc 30
15 transient_ON 2203 124.501 68.999 LGN_exc 30
15 transient_ON 2317 125.743 58.530 LGN_exc 30
15 transient_ON 2833 122.123 56.324 LGN_exc 30
16 transient_OFF 3002 95.995 63.323 LGN_exc 30
16 transient_OFF 3258 93.736 69.897 LGN_exc 30
16 transient_OFF 3556 95.359 67.835 LGN_exc 30
16 transient_OFF 3854 92.847 60.730 LGN_exc 30
16 transient_OFF 4669 95.576 74.312 LGN_exc 30
16 transient_OFF 4822 96.151 57.131 LGN_exc 30
16 transient_OFF 5645 93.349 61.473 LGN_exc 30
16 transient_OFF 5697 95.224 65.991 LGN_exc 30
16 transient_ON 617 105.525 56.127 LGN_exc 30
16 transient_ON 780 104.365 72.902 LGN_exc 30
16 transient_ON 1059 106.671 72.904 LGN_exc 30
16 transient_ON 1533 108.218 69.451 LGN_exc 30
16 transient_ON 1832 104.120 67.218 LGN_exc 30
16 transient_ON 1905 109.066 63.343 LGN_exc 30
16 transient_ON 2039 103.072 62.296 LGN_exc 30
16 transient_ON 2738 105.106 67.597 LGN_exc 30
17 transient_OFF 3349 112.404 61.839 LGN_exc 30
17 transient_OFF 4090 110.748 66.201 LGN_exc 30
17 transient_OFF 4174 112.931 70.871 LGN_exc 30
17 transient_OFF 4589 108.122 64.256 LGN_exc 30
17 transient_OFF 5231 112.761 59.087 LGN_exc 30
17 transient_OFF 5505 112.008 62.538 LGN_exc 30
17 transient_OFF 5673 110.395 71.112 LGN_exc 30
17 transient_OFF 5688 111.695 64.358 LGN_exc 30
17 transient_ON 175 118.503 64.334 LGN_exc 30
17 transient_ON 588 122.883 74.256 LGN_exc 30
17 transient_ON 1091 122.365 68.218 LGN_exc 30
17 transient_ON 1513 118.176 67.205 LGN_exc 30
17 transient_ON 2060 118.925 61.613 LGN_exc 30
17 transient_ON 2460 119.299 65.633 LGN_exc 30
17 transient_ON 2534 121.721 76.539 LGN_exc 30
17 transient_ON 2746 121.069 74.240 LGN_exc 30
18 transient_ON_OFF 8688 101.832 50.701 LGN_exc 30
18 transient_OFF 3425 98.844 42.785 LGN_exc 30
18 transient_OFF 3560 98.794 60.526 LGN_exc 30
18 transient_OFF 4023 97.359 50.057 LGN_exc 30
18 transient_OFF 4110 100.661 54.542 LGN_exc 30
18 transient_OFF 5220 99.998 54.408 LGN_exc 30
18 transient_OFF 5431 99.597 42.920 LGN_exc 30
18 transient_OFF 5698 98.717 42.392 LGN_exc 30
18 transient_OFF 5899 97.136 51.574 LGN_exc 30
18 transient_ON 141 109.975 45.938 LGN_exc 30
18 transient_ON 476 106.352 47.999 LGN_exc 30
18 transient_ON 671 111.691 52.580 LGN_exc 30
18 transient_ON 1020 108.607 51.387 LGN_exc 30
18 transient_ON 1531 110.181 42.474 LGN_exc 30
18 transient_ON 1982 107.397 53.254 LGN_exc 30
18 transient_ON 2498 110.126 42.320 LGN_exc 30
18 transient_ON 2902 107.666 54.731 LGN_exc 30
19 transient_OFF 3787 106.943 55.739 LGN_exc 30
19 transient_OFF 4213 107.454 53.558 LGN_exc 30
19 transient_OFF 4479 104.268 65.144 LGN_exc 30
19 transient_OFF 4589 108.122 64.256 LGN_exc 30
19 transient_OFF 4623 103.919 57.732 LGN_exc 30
19 transient_OFF 4995 106.073 69.149 LGN_exc 30
19 transient_OFF 5554 104.175 54.509 LGN_exc 30
19 transient_OFF 5833 105.257 62.375 LGN_exc 30
19 transient_ON 175 118.503 64.334 LGN_exc 30
19 transient_ON 316 119.144 50.602 LGN_exc 30
19 transient_ON 454 117.887 51.667 LGN_exc 30
19 transient_ON 795 114.741 58.039 LGN_exc 30
19 transient_ON 840 119.546 55.442 LGN_exc 30
19 transient_ON 975 116.264 53.111 LGN_exc 30
19 transient_ON 1790 118.665 49.336 LGN_exc 30
19 transient_ON 2543 116.662 67.285 LGN_exc 30
20 transient_ON_OFF 8688 101.832 50.701 LGN_exc 30
20 transient_OFF 3242 93.583 49.319 LGN_exc 30
20 transient_OFF 3283 92.376 52.166 LGN_exc 30
20 transient_OFF 4023 97.359 50.057 LGN_exc 30
20 transient_OFF 4582 94.802 48.878 LGN_exc 30
20 transient_OFF 4822 96.151 57.131 LGN_exc 30
20 transient_OFF 5899 97.136 51.574 LGN_exc 30
20 transient_ON 476 106.352 47.999 LGN_exc 30
20 transient_ON 617 105.525 56.127 LGN_exc 30
20 transient_ON 1020 108.607 51.387 LGN_exc 30
20 transient_ON 1475 104.769 49.776 LGN_exc 30
20 transient_ON 1551 105.906 60.659 LGN_exc 30
20 transient_ON 2309 102.751 51.033 LGN_exc 30
20 transient_ON 2385 106.730 51.588 LGN_exc 30
20 transient_ON 2902 107.666 54.731 LGN_exc 30
21 transient_OFF 3072 110.771 80.874 LGN_exc 30
21 transient_OFF 3699 112.104 79.678 LGN_exc 30
21 transient_OFF 4090 110.748 66.201 LGN_exc 30
21 transient_OFF 4167 114.566 71.350 LGN_exc 30
21 transient_OFF 4174 112.931 70.871 LGN_exc 30
21 transient_OFF 4666 115.306 74.011 LGN_exc 30
21 transient_OFF 5370 112.884 78.613 LGN_exc 30
21 transient_OFF 5673 110.395 71.112 LGN_exc 30
21 transient_ON 683 123.771 83.285 LGN_exc 30
21 transient_ON 1091 122.365 68.218 LGN_exc 30
21 transient_ON 1223 124.731 73.018 LGN_exc 30
21 transient_ON 2053 124.623 82.189 LGN_exc 30
21 transient_ON 2203 124.501 68.999 LGN_exc 30
