index src_type src_gid presyn_type N_syn
9 tw 351 tw_exc 1
9 tw 1883 tw_exc 1
9 tw 2433 tw_exc 1
9 tw 704 tw_exc 1
10 tw 1849 tw_exc 8
10 tw 2084 tw_exc 8
10 tw 2265 tw_exc 8
10 tw 1835 tw_exc 8
10 tw 1689 tw_exc 8
10 tw 2143 tw_exc 8
10 tw 1460 tw_exc 8
10 tw 2465 tw_exc 8
10 tw 521 tw_exc 8
10 tw 1903 tw_exc 8
10 tw 228 tw_exc 8
10 tw 1039 tw_exc 8
10 tw 1451 tw_exc 8
10 tw 527 tw_exc 8
10 tw 1049 tw_exc 8
10 tw 1583 tw_exc 8
10 tw 2443 tw_exc 8
10 tw 2283 tw_exc 8
10 tw 874 tw_exc 8
11 tw 2721 tw_exc 1
11 tw 558 tw_exc 1
11 tw 2892 tw_exc 1
11 tw 699 tw_exc 1
11 tw 1997 tw_exc 1
11 tw 237 tw_exc 1
11 tw 2705 tw_exc 1
11 tw 1289 tw_exc 1
11 tw 1476 tw_exc 1
11 tw 1541 tw_exc 1
11 tw 423 tw_exc 1
11 tw 266 tw_exc 1
11 tw 2634 tw_exc 1
11 tw 282 tw_exc 1
11 tw 2983 tw_exc 1
11 tw 1995 tw_exc 1
11 tw 1988 tw_exc 1
11 tw 1727 tw_exc 1
12 tw 1973 tw_exc 1
12 tw 703 tw_exc 1
12 tw 1793 tw_exc 1
12 tw 841 tw_exc 1
12 tw 307 tw_exc 1
12 tw 1222 tw_exc 1
12 tw 1143 tw_exc 1
12 tw 1590 tw_exc 1
12 tw 1971 tw_exc 1
12 tw 1865 tw_exc 1
12 tw 1788 tw_exc 1
12 tw 1555 tw_exc 1
12 tw 2741 tw_exc 1
12 tw 284 tw_exc 1
12 tw 2783 tw_exc 1
12 tw 1141 tw_exc 1
12 tw 2184 tw_exc 1
12 tw 2740 tw_exc 1
13 tw 405 tw_exc 1
13 tw 335 tw_exc 1
13 tw 463 tw_exc 1
13 tw 2097 tw_exc 1
13 tw 1699 tw_exc 1
13 tw 513 tw_exc 1
13 tw 669 tw_exc 1
13 tw 1358 tw_exc 1
13 tw 179 tw_exc 1
13 tw 1098 tw_exc 1
13 tw 1594 tw_exc 1
13 tw 1851 tw_exc 1
13 tw 359 tw_exc 1
13 tw 2394 tw_exc 1
13 tw 1298 tw_exc 1
13 tw 96 tw_exc 1
13 tw 624 tw_exc 1
13 tw 1903 tw_exc 1
13 tw 656 tw_exc 1
13 tw 546 tw_exc 1
13 tw 797 tw_exc 1
13 tw 241 tw_exc 1
13 tw 1137 tw_exc 1
14 tw 2127 tw_exc 2
14 tw 2935 tw_exc 2
14 tw 2259 tw_exc 2
14 tw 647 tw_exc 2
14 tw 1169 tw_exc 2
14 tw 2931 tw_exc 2
14 tw 1766 tw_exc 2
14 tw 237 tw_exc 2
14 tw 2354 tw_exc 2
14 tw 2813 tw_exc 2
14 tw 1779 tw_exc 2
14 tw 1161 tw_exc 2
14 tw 2590 tw_exc 2
14 tw 1000 tw_exc 2
14 tw 2555 tw_exc 2
14 tw 119 tw_exc 2
14 tw 611 tw_exc 2
14 tw 1184 tw_exc 2
14 tw 2765 tw_exc 2
14 tw 1346 tw_exc 2
15 tw 1519 tw_exc 1
15 tw 1368 tw_exc 1
15 tw 383 tw_exc 1
15 tw 909 tw_exc 1
15 tw 519 tw_exc 1
15 tw 704 tw_exc 1
15 tw 761 tw_exc 1
15 tw 1127 tw_exc 1
15 tw 1788 tw_exc 1
15 tw 2880 tw_exc 1
15 tw 2299 tw_exc 1
15 tw 1068 tw_exc 1
15 tw 801 tw_exc 1
15 tw 2360 tw_exc 1
15 tw 1869 tw_exc 1
15 tw 2446 tw_exc 1
15 tw 2339 tw_exc 1
15 tw 2116 tw_exc 1
15 tw 1467 tw_exc 1
15 tw 350 tw_exc 1
15 tw 2883 tw_exc 1
15 tw 1581 tw_exc 1
15 tw 1883 tw_exc 1
16 tw 1452 tw_exc 2
16 tw 2111 tw_exc 2
16 tw 2759 tw_exc 2
16 tw 2334 tw_exc 2
16 tw 403 tw_exc 2
16 tw 1755 tw_exc 2
16 tw 1620 tw_exc 2
16 tw 522 tw_exc 2
16 tw 56 tw_exc 2
16 tw 328 tw_exc 2
16 tw 1071 tw_exc 2
16 tw 1124 tw_exc 2
16 tw 2778 tw_exc 2
16 tw 174 tw_exc 2
16 tw 2741 tw_exc 2
16 tw 1656 tw_exc 2
16 tw 1288 tw_exc 2
16 tw 407 tw_exc 2
16 tw 1973 tw_exc 2
16 tw 2136 tw_exc 2
16 tw 2639 tw_exc 2
17 tw 516 tw_exc 1
17 tw 66 tw_exc 1
17 tw 1831 tw_exc 1
17 tw 307 tw_exc 1
17 tw 704 tw_exc 1
17 tw 110 tw_exc 1
17 tw 2883 tw_exc 1
17 tw 841 tw_exc 1
17 tw 2182 tw_exc 1
17 tw 1581 tw_exc 1
17 tw 801 tw_exc 1
17 tw 628 tw_exc 1
17 tw 2446 tw_exc 1
17 tw 1467 tw_exc 1
17 tw 522 tw_exc 1
17 tw 852 tw_exc 1
17 tw 1104 tw_exc 1
17 tw 834 tw_exc 1
17 tw 482 tw_exc 1
17 tw 882 tw_exc 1
17 tw 1560 tw_exc 1
18 tw 2051 tw_exc 8
18 tw 2159 tw_exc 8
18 tw 264 tw_exc 8
18 tw 1435 tw_exc 8
18 tw 2534 tw_exc 8
18 tw 2424 tw_exc 8
18 tw 897 tw_exc 8
18 tw 1814 tw_exc 8
18 tw 699 tw_exc 8
18 tw 1481 tw_exc 8
18 tw 1997 tw_exc 8
18 tw 2921 tw_exc 8
18 tw 1343 tw_exc 8
18 tw 755 tw_exc 8
18 tw 2634 tw_exc 8
18 tw 188 tw_exc 8
18 tw 2525 tw_exc 8
18 tw 2462 tw_exc 8
18 tw 1361 tw_exc 8
18 tw 1541 tw_exc 8
18 tw 282 tw_exc 8
18 tw 2705 tw_exc 8
19 tw 2964 tw_exc 1
19 tw 247 tw_exc 1
19 tw 284 tw_exc 1
19 tw 2950 tw_exc 1
19 tw 1995 tw_exc 1
19 tw 99 tw_exc 1
19 tw 889 tw_exc 1
19 tw 1643 tw_exc 1
19 tw 2740 tw_exc 1
19 tw 2410 tw_exc 1
19 tw 2040 tw_exc 1
19 tw 2424 tw_exc 1
19 tw 1680 tw_exc 1
19 tw 1973 tw_exc 1
19 tw 2117 tw_exc 1
19 tw 2852 tw_exc 1
19 tw 1632 tw_exc 1
19 tw 1141 tw_exc 1
19 tw 1793 tw_exc 1
20 tw 1455 tw_exc 1
20 tw 141 tw_exc 1
20 tw 2996 tw_exc 1
20 tw 2300 tw_exc 1
20 tw 1997 tw_exc 1
20 tw 2107 tw_exc 1
20 tw 1343 tw_exc 1
20 tw 2640 tw_exc 1
20 tw 1160 tw_exc 1
20 tw 2490 tw_exc 1
20 tw 2462 tw_exc 1
20 tw 714 tw_exc 1
20 tw 1334 tw_exc 1
20 tw 2151 tw_exc 1
20 tw 2999 tw_exc 1
20 tw 1179 tw_exc 1
20 tw 84 tw_exc 1
20 tw 1693 tw_exc 1
21 tw 1916 tw_exc 1
